Geneid,wt_CON,wt_DOX
ENSMUSG00000002233,1251,1016
ENSMUSG00000002240,0,0
ENSMUSG00000002249,0,26
ENSMUSG00000002250,1036,808
ENSMUSG00000002257,1205,1427
ENSMUSG00000002265,2,18
ENSMUSG00000002266,0,6
ENSMUSG00000002274,159,161
ENSMUSG00000002279,1715,600
ENSMUSG00000002280,2160,1548
ENSMUSG00000002289,316,230
ENSMUSG00000002297,927,717
ENSMUSG00000002307,2605,1329
ENSMUSG00000002308,196,239
ENSMUSG00000002319,570,691
ENSMUSG00000002320,2897,2684
ENSMUSG00000002324,4,11
ENSMUSG00000002325,6778,2147
ENSMUSG00000002326,1271,560
ENSMUSG00000002329,1696,992
ENSMUSG00000002332,4312,2703
ENSMUSG00000002341,0,2
ENSMUSG00000002342,1364,829
ENSMUSG00000002343,147,148
ENSMUSG00000002345,1369,671
ENSMUSG00000002346,174,66
ENSMUSG00000002365,6674,5214
ENSMUSG00000002372,2802,2574
ENSMUSG00000002379,2050,1105
ENSMUSG00000002384,4,2
ENSMUSG00000002393,196,245
ENSMUSG00000002395,1895,1571
ENSMUSG00000002396,1173,869
ENSMUSG00000002409,507,480
ENSMUSG00000002413,3774,3018
ENSMUSG00000002416,124,100
ENSMUSG00000002428,3636,2445
ENSMUSG00000002455,3889,3094
ENSMUSG00000002458,5062,2346
ENSMUSG00000002459,2,4
ENSMUSG00000002475,296,97
ENSMUSG00000002477,2471,691
ENSMUSG00000002486,606,487
ENSMUSG00000002489,1579,313
ENSMUSG00000002496,3571,3459
ENSMUSG00000002500,11,10
ENSMUSG00000002504,2,16
ENSMUSG00000002524,2834,2895
ENSMUSG00000002546,4726,3103
ENSMUSG00000002550,1901,1264
ENSMUSG00000002565,2,14
ENSMUSG00000002578,4,4
ENSMUSG00000002580,225,288
ENSMUSG00000002588,0,0
ENSMUSG00000002602,2545,2145
ENSMUSG00000002603,11249,7658
ENSMUSG00000002608,2490,2128
ENSMUSG00000002617,683,420
ENSMUSG00000002625,1888,1646
ENSMUSG00000002633,0,0
ENSMUSG00000002635,676,607
ENSMUSG00000002658,7237,3338
ENSMUSG00000002660,628,559
ENSMUSG00000002661,310,160
ENSMUSG00000002664,8,4
ENSMUSG00000002668,2292,1956
ENSMUSG00000002679,894,870
ENSMUSG00000002688,0,6
ENSMUSG00000002699,2682,1874
ENSMUSG00000002718,3887,2096
ENSMUSG00000002728,2868,2382
ENSMUSG00000002731,1554,882
ENSMUSG00000002732,27,83
ENSMUSG00000002733,2085,2036
ENSMUSG00000002741,6689,5722
ENSMUSG00000002748,7905,6587
ENSMUSG00000002763,1546,1302
ENSMUSG00000002767,1406,1287
ENSMUSG00000002768,2094,1407
ENSMUSG00000002769,12,9
ENSMUSG00000002771,19,25
ENSMUSG00000002778,5161,2855
ENSMUSG00000002781,898,542
ENSMUSG00000002797,167,131
ENSMUSG00000002799,8,37
ENSMUSG00000002803,408,433
ENSMUSG00000002804,396,160
ENSMUSG00000002808,28,120
ENSMUSG00000002812,12871,8738
ENSMUSG00000002814,1160,1519
ENSMUSG00000002820,537,483
ENSMUSG00000002825,331,351
ENSMUSG00000002831,40,12
ENSMUSG00000002833,1848,1206
ENSMUSG00000002835,428,385
ENSMUSG00000002844,1374,1441
ENSMUSG00000002845,717,562
ENSMUSG00000002846,736,536
ENSMUSG00000002847,14,37
